Employee ID,Schedule Adherence,Schedule Variability,Error Rate,Performance Score
19012299,0.66,0.73,0.55,0.78
29101721,0.74,0.89,0.37999999999999995,0.83
76868411,0.76,0.82,0.6799999999999999,0.84
95028633,0.62,0.73,0.87,0.72
32275632,0.52,0.65,0.32,0.84
72551668,0.76,0.8,0.51,0.66
30851361,0.52,0.64,0.5599999999999999,0.6
30742312,0.6900000000000001,0.8,0.54,0.75
4241082,0.66,0.82,0.39,0.69
58743899,0.7100000000000001,0.65,0.7999999999999999,0.75
77267851,0.6900000000000001,0.78,0.41000000000000003,0.86
92906925,0.67,0.79,0.77,0.85
98247978,0.51,0.61,0.75,0.61
4252623,0.5700000000000001,0.77,0.48,0.74
67142221,0.74,0.85,0.1,0.84
37890587,0.76,0.86,0.82,0.78
11813826,0.63,0.75,0.69,0.81
97334764,0.55,0.66,0.42,0.69
74854624,0.74,0.72,0.41,0.69
88728737,0.75,0.67,0.74,0.73
42376657,0.5800000000000001,0.64,0.64,0.67
87653540,0.79,0.72,0.36,0.63
49469783,0.56,0.78,0.72,0.89
55388635,0.65,0.82,0.34,0.82
92347656,0.7000000000000001,0.84,0.35000000000000003,0.71
67378255,0.51,0.61,0.48,0.81
56087573,0.77,0.63,0.47000000000000003,0.63
3278321,0.5800000000000001,0.65,0.77,0.87
87976095,0.79,0.82,0.53,0.71
31774193,0.76,0.8,0.35000000000000003,0.62
93230243,0.62,0.63,0.73,0.8
83029220,0.78,0.64,0.41000000000000003,0.62
15372342,0.68,0.63,0.73,0.84
77981604,0.6,0.83,0.45999999999999996,0.79
38704727,0.51,0.72,0.30000000000000004,0.85
61643899,0.5700000000000001,0.74,0.64,0.61
83698994,0.7100000000000001,0.79,0.63,0.84
43928919,0.78,0.74,0.14,0.89
75040304,0.52,0.61,0.54,0.67
47756171,0.59,0.86,0.37999999999999995,0.81
80268080,0.68,0.69,0.33,0.89
35481412,0.6,0.78,0.30000000000000004,0.68
20182767,0.74,0.76,0.5700000000000001,0.73
26315160,0.73,0.77,0.28,0.82
96788220,0.73,0.84,0.1,0.68
91188949,0.74,0.66,0.35999999999999993,0.65
64040813,0.7000000000000001,0.87,0.49,0.78
14368702,0.76,0.89,0.49,0.74
73614225,0.77,0.73,0.58,0.88
7003455,0.5700000000000001,0.65,0.42,0.71
8891571,0.55,0.75,0.7799999999999999,0.74
83558633,0.6,0.67,0.28,0.64
77002405,0.51,0.85,0.33999999999999997,0.67
63739006,0.53,0.87,0.59,0.84
62916372,0.7100000000000001,0.76,0.22999999999999998,0.86
42213779,0.67,0.64,0.66,0.68
43191536,0.53,0.81,0.37999999999999995,0.85
15458309,0.5,0.87,0.5900000000000001,0.8
23357555,0.73,0.83,0.35000000000000003,0.69
12315508,0.79,0.82,0.28,0.82
60369366,0.53,0.65,0.53,0.83
5355918,0.51,0.7,0.53,0.83
16059097,0.6900000000000001,0.78,0.7,0.62
89213704,0.64,0.68,0.54,0.84
93172855,0.64,0.61,0.47000000000000003,0.8
37663634,0.77,0.86,0.37999999999999995,0.89
95313696,0.7000000000000001,0.82,0.49999999999999994,0.83
88227304,0.5700000000000001,0.85,0.74,0.71
28280206,0.72,0.86,0.84,0.8
73905990,0.66,0.77,0.35000000000000003,0.71
5288945,0.65,0.82,0.31,0.74
55692630,0.72,0.8,0.6599999999999999,0.67
65759023,0.77,0.8,0.46,0.69
42916050,0.66,0.87,0.44999999999999996,0.76
32862210,0.53,0.81,0.25,0.71
90042683,0.76,0.82,0.24,0.86
13740580,0.8,0.75,0.20999999999999996,0.6
65390880,0.7100000000000001,0.7,0.8099999999999999,0.72
90814701,0.52,0.85,0.45,0.65
66755909,0.76,0.85,0.5800000000000001,0.81
33875272,0.79,0.64,0.56,0.74
43537935,0.67,0.75,0.75,0.7
31690502,0.54,0.72,0.6499999999999999,0.72
613381,0.61,0.74,0.29,0.77
62816685,0.78,0.71,0.71,0.7
67005686,0.77,0.82,0.62,0.68
32342203,0.56,0.79,0.41000000000000003,0.86
76107236,0.56,0.7,0.5900000000000001,0.68
4484589,0.66,0.76,0.84,0.77
65998331,0.68,0.66,0.66,0.66
58326161,0.74,0.72,0.7,0.86
39597486,0.6900000000000001,0.64,0.56,0.7
86213227,0.62,0.62,0.5399999999999999,0.67
95532643,0.67,0.68,0.41,0.64
95232913,0.56,0.71,0.42000000000000004,0.64
11037000,0.62,0.66,0.54,0.79
60769390,0.64,0.65,0.62,0.65
26000524,0.7100000000000001,0.78,0.13,0.63
36912023,0.66,0.83,0.32999999999999996,0.66
88502179,0.61,0.8,0.81,0.79
73140808,0.6900000000000001,0.83,0.68,0.65
48816329,0.6900000000000001,0.69,0.32999999999999996,0.72
40305911,0.7100000000000001,0.84,0.29999999999999993,0.61
13542128,0.74,0.82,0.37,0.77
7507865,0.67,0.78,0.6,0.87
30884938,0.5700000000000001,0.76,0.53,0.88
18024249,0.62,0.83,0.51,0.83
46612336,0.5700000000000001,0.6,0.48999999999999994,0.83
39000920,0.62,0.81,0.38,0.79
79520598,0.52,0.71,0.6799999999999999,0.77
49797532,0.65,0.75,0.66,0.88
15151445,0.6,0.74,0.29,0.68
9629585,0.76,0.76,0.75,0.82
95658505,0.5700000000000001,0.7,0.45,0.72
74912499,0.59,0.88,0.32999999999999996,0.79
55825347,0.73,0.65,0.39,0.79
83650069,0.79,0.87,0.31999999999999995,0.64
86750369,0.51,0.76,0.54,0.87
69519113,0.52,0.7,0.68,0.68
16888276,0.78,0.77,0.44000000000000006,0.67
28737175,0.7100000000000001,0.78,0.38,0.7
25921442,0.64,0.63,0.67,0.62
36960685,0.77,0.87,0.44,0.89
856025,0.52,0.67,0.14,0.71
53747465,0.68,0.79,0.7,0.89
58646622,0.75,0.82,0.7000000000000001,0.8
66034588,0.7100000000000001,0.83,0.4600000000000001,0.62
40446608,0.51,0.68,0.3,0.66
19310254,0.66,0.61,0.38,0.72
12120706,0.75,0.86,0.73,0.62
29013197,0.79,0.9,0.55,0.84
32445507,0.5800000000000001,0.75,0.89,0.67
97630258,0.65,0.81,0.6699999999999999,0.86
15568501,0.6,0.79,0.6,0.67
30838738,0.78,0.75,0.38999999999999996,0.71
822925,0.77,0.81,0.6000000000000001,0.61
27828933,0.56,0.79,0.7999999999999999,0.65
6164432,0.65,0.76,0.53,0.65
18536763,0.5800000000000001,0.82,0.30999999999999994,0.8
48039456,0.51,0.7,0.54,0.89
45114544,0.7100000000000001,0.71,0.62,0.89
76778236,0.6900000000000001,0.77,0.45999999999999996,0.72
24684476,0.67,0.83,0.69,0.62
39945151,0.66,0.81,0.6299999999999999,0.64
78378722,0.78,0.67,0.5800000000000001,0.73
46315280,0.7100000000000001,0.8,0.5,0.6
91152881,0.54,0.86,0.46,0.79
73245899,0.61,0.75,0.34,0.71
87909065,0.66,0.67,0.45999999999999996,0.73
3908069,0.61,0.7,0.6,0.65
91610493,0.56,0.69,0.3,0.69
20361928,0.59,0.7,0.6,0.73
94062274,0.61,0.7,0.74,0.68
97332903,0.68,0.68,0.31999999999999995,0.82
88237349,0.55,0.74,0.8,0.77
76762165,0.61,0.8,0.55,0.9
87139444,0.5700000000000001,0.73,0.64,0.83
43805533,0.7100000000000001,0.82,0.85,0.67
27868463,0.51,0.64,0.66,0.68
88610234,0.75,0.63,0.15000000000000002,0.83
38508908,0.67,0.67,0.51,0.69
9735028,0.56,0.78,0.6,0.73
79047552,0.76,0.68,0.64,0.67
33634473,0.55,0.71,0.25,0.65
68371273,0.77,0.77,0.47,0.8
86977838,0.78,0.85,0.35,0.74
84328499,0.78,0.86,0.19000000000000006,0.75
34152670,0.68,0.63,0.48,0.61
38141361,0.52,0.61,0.5800000000000001,0.67
5668333,0.64,0.67,0.38999999999999996,0.63
51401478,0.6,0.7,0.44000000000000006,0.69
55548634,0.79,0.61,0.43000000000000005,0.77
84176529,0.5700000000000001,0.72,0.64,0.74
10760290,0.66,0.83,0.67,0.82
5095408,0.51,0.71,0.41000000000000003,0.76
9863757,0.7000000000000001,0.82,0.27999999999999997,0.85
11375217,0.62,0.61,0.32999999999999996,0.6
49357132,0.8,0.68,0.63,0.6
60201635,0.78,0.67,0.87,0.65
86300903,0.67,0.8,0.42,0.65
93717533,0.6,0.85,0.2,0.87
21810618,0.67,0.89,0.52,0.85
86838850,0.64,0.86,0.18000000000000005,0.83
34834492,0.52,0.83,0.19999999999999996,0.74
71285952,0.52,0.77,0.61,0.81
28765354,0.56,0.9,0.5900000000000001,0.67
56813150,0.64,0.81,0.72,0.67
26320003,0.51,0.64,0.27,0.68
86688656,0.74,0.86,0.65,0.65
78762522,0.75,0.86,0.5700000000000001,0.74
51399350,0.79,0.62,0.15000000000000002,0.76
888370,0.78,0.63,0.63,0.85
23306945,0.5800000000000001,0.84,0.61,0.84
32725928,0.53,0.62,0.45,0.85
9067691,0.5,0.68,0.36000000000000004,0.81
62464470,0.5700000000000001,0.63,0.53,0.68
65082046,0.8,0.81,0.5700000000000001,0.71
77926230,0.51,0.68,0.43999999999999995,0.89
87967623,0.65,0.7,0.61,0.64
92116058,0.5,0.64,0.69,0.67
76667842,0.7000000000000001,0.88,0.38,0.76
50598852,0.61,0.76,0.69,0.89
74888555,0.73,0.84,0.30000000000000004,0.62
67292381,0.6900000000000001,0.86,0.6599999999999999,0.64
76684569,0.59,0.68,0.8099999999999999,0.6
92511087,0.75,0.78,0.6799999999999999,0.66
8041392,0.66,0.64,0.5,0.82
63174946,0.5700000000000001,0.63,0.6699999999999999,0.66
57566436,0.51,0.86,0.33999999999999997,0.67
52623674,0.66,0.78,0.42,0.73
97077010,0.66,0.61,0.44,0.81
34612922,0.78,0.86,0.71,0.66
38917594,0.54,0.88,0.57,0.88
58883854,0.75,0.79,0.6900000000000001,0.63
52089787,0.67,0.65,0.31,0.81
84216002,0.56,0.62,0.41999999999999993,0.8
83370584,0.74,0.63,0.51,0.86
14260595,0.7000000000000001,0.61,0.35000000000000003,0.78
26885205,0.65,0.9,0.4,0.69
56581474,0.75,0.78,0.36999999999999994,0.83
53094169,0.67,0.8,0.29,0.78
56701915,0.53,0.63,0.75,0.85
7221209,0.72,0.8,0.24,0.86
50527632,0.67,0.87,0.5700000000000001,0.71
42539472,0.55,0.8,0.24,0.68
32737442,0.56,0.9,0.65,0.67
4652376,0.6900000000000001,0.8,0.54,0.76
82631442,0.6900000000000001,0.67,0.31,0.73
71925332,0.5700000000000001,0.63,0.59,0.84
78703006,0.54,0.73,0.62,0.83
74892609,0.73,0.75,0.8300000000000001,0.72
72109614,0.6900000000000001,0.64,0.45,0.74
85354669,0.62,0.77,0.85,0.62
55049585,0.55,0.76,0.62,0.81
85735669,0.68,0.64,0.5900000000000001,0.78
60210271,0.52,0.7,0.51,0.81
2185247,0.5,0.65,0.48,0.86
66943779,0.54,0.67,0.33,0.74
45901508,0.7000000000000001,0.8,0.42,0.64
22494945,0.67,0.89,0.54,0.87
